League,Home_Team,Away_Team,Home_FH,Away_FH,Home_Result,Away_Result,Odds_Home,Odds_Draw,Odds_Away,Alt-Ust
English League One (Account Only),Morecambe , Oxford United,2,1,2,1,3.2,3.4,1.92,UST
English League One (Account Only),MK Dons , Crewe Alexandra,2,0,2,1,1.3,4.4,9.0,UST
English League One (Account Only),Cambridge , Wycombe,0,1,1,4,4.2,3.3,1.72,UST
English League One (Account Only),Fleetwood , Lincoln City,1,0,1,1,2.5,3.1,2.5,UST
English League One (Account Only),AFC Wimbledon , Charlton,0,0,1,1,2.9,2.95,2.3,ALT
English League One (Account Only),Wigan , Accrington,2,0,3,0,1.53,3.7,5.0,UST
English League Champ,Millwall , Swansea,0,0,0,1,1.97,3.05,3.5,ALT
English League Champ,Sheffield Utd , QPR,1,0,1,0,1.6,3.5,4.8,ALT
English League Champ,Peterborough , Luton,0,0,1,1,4.1,3.5,1.72,ALT
English League Champ,Preston , Blackpool,1,0,1,0,2.03,2.95,3.4,ALT
M League,Negeri Sembilan , Selangor,0,1,2,2,3.4,3.3,1.9,UST
M League,Malacca , Sabah,0,1,0,1,1.97,3.2,3.3,ALT
M League,Sarawak United , Penang,0,0,1,1,3.05,3.3,2.05,ALT
S.League,Bal Khalsa , Hougang,1,0,2,1,3.2,3.8,1.82,UST
S.League,Geylang , Albirex,2,2,2,2,5.8,4.2,1.4,UST
K League,Jeju , Ulsan,1,1,1,2,3.7,3.0,1.95,UST
K League,Daegu , Incheon,0,1,1,2,2.4,2.85,2.8,UST
K League,Suwon , Jeonbuk,0,0,0,1,3.4,3.1,2.0,ALT
J League,Cerezo Osaka , Kashiwa Reysol,0,1,0,1,2.0,3.2,3.3,ALT
A League,Central Coast , Wellington,2,0,5,0,1.97,3.4,3.1,UST
Chilean League,Curico Unido , Palestino Chile,0,0,0,0,2.0,3.4,3.0,ALT
English Premier,Crystal Palace , Arsenal,2,0,3,0,3.8,3.1,1.9,UST
Spanish League,Sociedad , Espanyol,0,0,1,0,1.48,3.7,6.0,ALT
Italian League,Milan , Bologna,0,0,0,0,1.23,5.0,11.0,ALT
Swedish League,Djurgarden , Degerfors,1,0,3,1,1.33,4.5,7.5,UST
Swedish League,Elfsborg , Mjallby AIF,0,0,0,2,1.55,3.7,4.8,ALT
